channel,filename
HeuteJournal,T2ZmaHdqQndhSFE=.mp4
HeuteJournal,ai1Jc0lFMEM0M0k=.mp4
HeuteJournal,Q0ZicXdnS3ZRa2s=.mp4
HeuteJournal,LUhXTjlRZnVQbnM=.mp4
HeuteJournal,eWNFbUxJeEUySTA=.mp4
HeuteJournal,bmFmb01ybUd0bFU=.mp4
HeuteJournal,X2ZsYUVlNDl0aHc=.mp4
HeuteJournal,Q1oyYnB1QzhaWWs=.mp4
HeuteJournal,SG5Da0o3ZVI5b3c=.mp4
HeuteJournal,NzZQdlRIdVNsd28=.mp4
HeuteJournal,UkFZNjZtUTZaV1k=.mp4
HeuteJournal,RXZjZGhhdF9ycWM=.mp4
HeuteJournal,TnpkWWozZWNTSnM=.mp4
HeuteJournal,XzN1Wm0wVFFvSDA=.mp4
HeuteJournal,OGpiU2JVbExvWk0=.mp4
HeuteJournal,WUU4a2RhRVV5NjA=.mp4
HeuteJournal,WERHeVBLRllHTzQ=.mp4
HeuteJournal,VFFiaGhmOVlnZVk=.mp4
HeuteJournal,MUE0ZEpfcDJRSk0=.mp4
HeuteJournal,dXVXR1ZieXBrUlE=.mp4
HeuteJournal,UFdFcGtWaG1nUkE=.mp4
HeuteJournal,dThwd2duSlhfNFE=.mp4
Welt,dFcwUlRsam5qdlU=.mp4
Welt,RUVjMlRMT0lMVTA=.mp4
Welt,a1NVVFM0SVBOXzQ=.mp4
Welt,c2x6bHQ0M09HU0k=.mp4
Welt,QnZjT2UyT3NMUmM=.mp4
Welt,RVVIQlZWSmlzckU=.mp4
Welt,SnZLM0c0eDBpTmc=.mp4
Welt,VWwzV3VhOWVSYXc=.mp4
Welt,b2VIbDR2aDd6ODQ=.mp4
Welt,ZGhyWndIYld4cEU=.mp4
Welt,bU4zN09RNURUdnc=.mp4
Welt,UDhjbWtJSmlyS00=.mp4
Welt,cGw0ZlRuTWgtMzQ=.mp4
Welt,dHR6djBqMTB0cmc=.mp4
Welt,ZThKTlQxc2ZwdkE=.mp4
Welt,RGpXVW90cTdQWDQ=.mp4
Welt,Y3Jwc0RFaWxGblU=.mp4
Welt,OU5wdHFsRTRKaTQ=.mp4
Welt,emFWc0xxdktJb1U=.mp4
Welt,a3p3RHdQLXJaWVE=.mp4
Welt,ZHZ6LXpWS0EzV2s=.mp4
Welt,ck1oWXdLRGFqRUk=.mp4
HeuteJournal,SzltWnJGNkpEWlk=.mp4
HeuteJournal,UjNCNEFkUUZkRTA=.mp4
CompactTV,COMPACTTV-2022-01-11-C912.m4v
CompactTV,COMPACTTV-2022-01-13-C909.m4v
CompactTV,COMPACTTV-2023-10-12-C234.mp4
CompactTV,COMPACTTV-2023-11-14-C190.mp4
Tagesschau,TV-20220104-2020-5700.webl.h264.mp4
Tagesschau,TV-20220106-2021-1700.webl.h264.mp4
Tagesschau,TV-20220111-2050-1700.webl.h264.mp4
Tagesschau,TV-20220113-2142-2300.webl.h264.mp4
Tagesschau,TV-20220118-1805-1800.webl.h264.mp4
Tagesschau,TV-20220118-2032-1800.webl.h264.mp4
Tagesschau,TV-20220120-2022-0200.webl.h264.mp4
Tagesschau,TV-20220125-2021-3500.webl.h264.mp4
Tagesschau,TV-20220127-2020-5500.webl.h264.mp4
Tagesschau,TV-20220201-2021-2400.webl.h264.mp4
Tagesschau,TV-20220208-1335-1600.webl.h264.mp4
Tagesschau,TV-20220208-2022-0400.webl.h264.mp4
Tagesschau,TV-20220210-2021-3100.webl.h264.mp4
Tagesschau,TV-20220217-2029-2900.webl.h264.mp4
Tagesschau,TV-20220222-2022-4100.webl.h264.mp4
Tagesschau,TV-20220224-2029-1800.webl.h264.mp4
Tagesschau,TV-20230509-1700-2100.webl.h264.mp4
Tagesschau,TV-20230509-2022-0400.webl.h264.mp4
Tagesschau,TV-20230511-1312-4800.webl.h264.mp4
Tagesschau,TV-20230518-2020-4300.webl.h264.mp4
Tagesschau,TV-20230523-1845-2800.webl.h264.mp4
Tagesschau,TV-20230530-2021-1100.webl.h264.mp4
Tagesschau,TV-20231107-2022-0500.webl.h264.mp4
